symbol,bid_liquidity,ask_liquidity,24h_quote_volume,relative_spread,liquidity_score
ETHBTC,267.08910000000003,244.5514,1322.3894904,0.0003059507419304306,1264.6024385333
LTCBTC,4434.601,4080.509,41.94830978,0.0019342359767890057,104946.1085104147
BNBBTC,133.303,117.649,149.61336781,0.00027483853236215443,6102.989761983321
NEOBTC,2044.13,1196.74,8.02559918,0.0020181634712412196,200091.11456771765
QTUMETH,5766.4,1717.7,10.6748214,0.004060913705583855,172645.47629808163
EOSETH,15853.8,6860.0,16.60933034,0.0016393442622952327,834194.8601402028
SNTETH,136950.0,148628.0,5.4308356,0.0014858841010401047,35389396.431002595
GASBTC,2306.7000000000003,1452.1,2.1842538,0.001924927815206846,893987.9605566374
BNBETH,80.73299999999999,62.638,1244.100545,0.00044913541432749487,256.58338691584333
BTCUSDT,0.32672999999999996,6.86867,3576540217.5110607,1.0845310029467586e-07,0.018550253863390615
ETHUSDT,3.1799999999999997,78.9025,2323980415.517515,3.318758452384455e-06,0.010642470792434463
LRCBTC,330286.0,94705.0,0.38480216,0.005420054200542068,203769229.10203803
LRCETH,9507.0,44837.0,3.60001565,0.002828354251369957,5337199.159120373
QTUMBTC,1865.1,1539.8999999999999,0.28529998,0.006203473945409369,1923890.7762980051
ZRXBTC,22826.0,16036.0,1.3042981,0.002068252326783848,14406044.906452121
KNCBTC,13522.5,15606.699999999999,1.05992313,0.003412969283276418,8052334.512220787
IOTABTC,320296.0,203812.0,12.92692294,0.0030257186081694113,13399762.248447476
IOTAETH,34308.0,41881.0,20.59866724,0.005036788306750219,734343.8353403762
LINKBTC,12758.28,13195.96,40.54739069,0.0009965122072745634,642336.7668495307
LINKETH,182.32999999999998,258.26,379.49875789,0.0011401579933219418,1018.2613056833536
XVGETH,1448800.0,1607798.0,33.49039699,0.0056022408963586085,16291319.065668492
MTLBTC,7506.3,2323.6,2.23176881,0.0015760441292356035,2794676.367038241
EOSBTC,47242.0,29586.3,2.45298723,0.0012523481527864629,25009260.871692583
SNTBTC,2740576.0,2052966.0,0.09432358,0.04545454545454538,1118044120.0387027
ETCETH,741.66,569.45,34.1417362,0.0025445292620866313,15091.975023811952
ETCBTC,1099.68,1158.05,12.22952141,0.0007782101167315364,237227.848313643
ZECBTC,132.826,101.786,3.51969708,0.0011831985801617328,56336.166861267266
ZECETH,374.368,398.97,56.50029982,0.0025806451612903295,5303.8386690812285
DASHBTC,101.122,69.931,2.43886886,0.0008107012565869673,86513.00566443532
DASHETH,416.57300000000004,420.76,23.37983092,0.00530035335689055,6756.970422093939
REQBTC,202467.0,275095.0,0.62464819,0.008298755186722089,92125810.85042338
VIBBTC,759875.0,176320.0,0.68266246,0.01183431952662723,115882272.91713086
TRXBTC,14730986.0,11955225.0,63.48359503,0.004192872117400379,100256787.92280678
